,TEAM_Home,TEAM_Away,DATE_Home,keras_pred,keras_proba,W/L_Home,clusters,Accuracy,n_matches
14144,MIN,SAS,12/03/2010,L,0.4493191,L,87,0.5111111111111111,90
13402,CHA,LAC,11/24/2014,L,0.44802374,L,87,0.5111111111111111,90
9343,MIN,MIA,04/03/2010,L,0.44722578,L,87,0.5111111111111111,90
1836,MIN,DET,01/18/2012,L,0.44696823,W,87,0.5111111111111111,90
2044,PHI,ATL,01/20/2012,L,0.4496062,W,87,0.5111111111111111,90
8074,MIL,ATL,03/22/2010,L,0.44628888,W,87,0.5111111111111111,90
2458,TOR,PHX,01/24/2012,L,0.44733906,W,87,0.5111111111111111,90
14186,BKN,SAS,12/03/2014,L,0.4494124,W,87,0.5111111111111111,90
2712,SAS,MIA,01/26/2014,L,0.44673127,L,87,0.5111111111111111,90
3630,PHX,CHA,02/04/2012,L,0.44773299,W,87,0.5111111111111111,90
4159,LAL,BOS,02/09/2012,L,0.4477754,W,87,0.5111111111111111,90
8853,OKC,MIN,03/29/2013,L,0.44864765,L,87,0.5111111111111111,90
11358,PHX,UTA,11/01/2013,L,0.4480485,W,87,0.5111111111111111,90
13337,MIA,HOU,11/24/2008,L,0.44643703,L,87,0.5111111111111111,90
5023,CLE,ORL,02/21/2010,L,0.44799715,L,87,0.5111111111111111,90
4632,MEM,NJN,02/15/2012,L,0.44896662,W,87,0.5111111111111111,90
4924,DAL,MIA,02/20/2010,L,0.44813752,W,87,0.5111111111111111,90
1764,CHI,WAS,01/17/2014,L,0.44936743,L,87,0.5111111111111111,90
5036,SAC,MIA,02/21/2012,L,0.44713208,L,87,0.5111111111111111,90
4006,SAS,LAL,02/08/2010,L,0.4488484,L,87,0.5111111111111111,90
1438,MEM,OKC,01/14/2014,L,0.44933644,W,87,0.5111111111111111,90
1357,MIA,MIL,01/14/2009,L,0.44725642,W,87,0.5111111111111111,90
6058,WAS,CLE,03/03/2012,L,0.44724706,W,87,0.5111111111111111,90
6275,SAC,DEN,03/05/2012,L,0.4480865,L,87,0.5111111111111111,90
1481,SAC,PHI,01/15/2010,L,0.44692448,L,87,0.5111111111111111,90
813,MIN,PHX,01/08/2014,L,0.4495964,L,87,0.5111111111111111,90
13231,SAC,MIN,11/22/2014,L,0.4476274,W,87,0.5111111111111111,90
7018,CHA,NOH,03/12/2012,L,0.44837415,W,87,0.5111111111111111,90
13238,IND,PHX,11/22/2014,L,0.44809505,L,87,0.5111111111111111,90
974,LAC,POR,01/10/2012,L,0.44700488,L,87,0.5111111111111111,90
10681,HOU,PHX,04/15/2013,L,0.44857606,L,87,0.5111111111111111,90
3611,ATL,LAC,02/04/2011,L,0.44671714,W,87,0.5111111111111111,90
1197,OKC,HOU,01/12/2011,L,0.44707903,W,87,0.5111111111111111,90
3602,NJN,DET,02/04/2011,L,0.44760284,L,87,0.5111111111111111,90
9502,DAL,LAL,04/04/2014,L,0.44873786,W,87,0.5111111111111111,90
7373,PHI,MEM,03/15/2014,L,0.44688898,L,87,0.5111111111111111,90
16469,DEN,MIN,12/29/2010,L,0.44861376,W,87,0.5111111111111111,90
16240,NJN,ORL,12/27/2010,L,0.4477375,L,87,0.5111111111111111,90
14417,OKC,CHI,12/06/2010,L,0.44937357,L,87,0.5111111111111111,90
7642,CHA,OKC,03/18/2011,L,0.4487519,L,87,0.5111111111111111,90
4973,DET,CHA,02/20/2013,L,0.44718575,W,87,0.5111111111111111,90
12096,LAL,CHA,11/09/2014,L,0.44902974,W,87,0.5111111111111111,90
12303,HOU,IND,11/12/2010,L,0.44851333,W,87,0.5111111111111111,90
10250,GSW,OKC,04/11/2013,L,0.44706506,L,87,0.5111111111111111,90
9666,MIN,PHX,04/06/2011,L,0.44768745,L,87,0.5111111111111111,90
9689,MIA,MIL,04/06/2011,L,0.44792113,L,87,0.5111111111111111,90
5064,UTA,POR,02/21/2014,L,0.44728607,L,87,0.5111111111111111,90
89,MIN,GSW,01/02/2009,L,0.44913322,W,87,0.5111111111111111,90
11501,DAL,DEN,11/03/2010,L,0.44733885,W,87,0.5111111111111111,90
11410,PHI,WAS,11/02/2010,L,0.44864225,L,87,0.5111111111111111,90
11254,DAL,LAC,10/31/2010,L,0.44953987,W,87,0.5111111111111111,90
16594,TOR,DAL,12/30/2011,L,0.44676143,L,87,0.5111111111111111,90
14382,PHX,UTA,12/06/2008,L,0.44824564,W,87,0.5111111111111111,90
586,NYK,WAS,01/06/2012,L,0.44676828,W,87,0.5111111111111111,90
10998,IND,SAS,10/27/2010,L,0.44925538,L,87,0.5111111111111111,90
14274,WAS,LAL,12/05/2008,L,0.44808474,L,87,0.5111111111111111,90
7574,LAC,HOU,03/17/2012,L,0.4468749,W,87,0.5111111111111111,90
8462,ATL,ORL,03/25/2015,L,0.44876474,W,87,0.5111111111111111,90
8978,LAC,HOU,03/30/2013,L,0.4467168,L,87,0.5111111111111111,90
11584,IND,NYK,11/04/2009,L,0.44933254,W,87,0.5111111111111111,90
